title,soldprice,solddate,link
"Dell Precision M4700 15.6"" Laptop i7-3840QM, 32GB, 750GB HDD, 128GB SSD, Quadro",159.99,18 May 2022,https://www.ebay.co.uk/itm/125319982751?hash=item1d2da72e9f%3Ag%3AZe8AAOSw-iVihI2N&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M6800 17.3"" CORE i7 4th Gen 32GB RAM 1TB HDD+500GB SSD WIN10 FHD",399.99,29 Jun 2022,https://www.ebay.co.uk/itm/284698151996?hash=item4249550c3c%3Ag%3A%7EqgAAOSwKJhipJWJ&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M6800 17.3"" Laptop i7-4800MQ, 16GB, 750GB HDD, Quadro, No Battery",164.99,11 May 2022,https://www.ebay.co.uk/itm/115377012132?hash=item1add017da4%3Ag%3AiFEAAOSws0RidM0-&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 3510, Win10 Pro, i7 Quad, 16GB RAM, 512GB SSD, READ DESCRIPTION",200.0,24 May 2022,https://www.ebay.co.uk/itm/154933899803?hash=item2412c7b21b%3Ag%3A-xwAAOSw0nhiTA%7Ey&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 7520, Xeon E3-1575M, 64GB RAM, 512GB NVME, NVIDIA QUADRO M2200M",670.0,3 May 2022,https://www.ebay.co.uk/itm/144518817301?hash=item21a5fe2615%3Ag%3AVSUAAOSwHc1iQZsV&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7760 Xeon 8 core 128GB ram, 1TB SSD, RTXA5000 16gb , 17.3"" FHD 6",2100.0,4 Jul 2022,https://www.ebay.co.uk/itm/284860025189?hash=item4252fb0965%3Ag%3AKZUAAOSwpbFirLM9&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M4700, Win10 Pro, i7 3rd Gen, 16GB RAM, 250GB SSD, dedicated GPU",150.0,17 May 2022,https://www.ebay.co.uk/itm/154911422107?hash=item241170b69b%3Ag%3AKYIAAOSw5A1iOHHJ&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 7760 Xeon W-11955M RTX A5000 128GB RAM 1TB Laptop 3Yr WTY,2199.0,15 Jul 2022,https://www.ebay.co.uk/itm/265772906276?hash=item3de14cb724%3Ag%3A804AAOSw1GtiyZQA&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 5530 E-2176M 6 Core 32GB M2 NVME 512GB SSD FHD P1000 - Win 10!,525.0,4 May 2022,https://www.ebay.co.uk/itm/175264486212?hash=item28ce93d344%3Ag%3AXAQAAOSwvLFibnOx&LH_BIN=1&LH_ItemCondition=3000
Fast Dell Precision M4800 Core i7-4810MQ Quad Core 16GB 256 SSD K2100M 1920X1080,199.99,7 Jun 2022,https://www.ebay.co.uk/itm/403690738004?hash=item5dfdd7d154%3Ag%3AGegAAOSw8lZilJDH&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 7760 17.3"" CAD Laptop: Core i7, 16GB, 512GB, RTX A3000, Warranty",1650.0,14 Jun 2022,https://www.ebay.co.uk/itm/155007369733?hash=item241728c205%3Ag%3AoXcAAOSw9ahiL4FA&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M2800 15.6"" Laptop i7-4810MQ 2.80GHz 8GB 256GB Radeon HD 8790M",99.99,1 Jun 2022,https://www.ebay.co.uk/itm/115394607749?hash=item1ade0dfa85%3Ag%3As6MAAOSw5ctii4jk&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision M6700 17.3"" Laptop Core i7-3840QM 2.8GHz 32GB 500GB Quadro K4000M",219.99,13 Jun 2022,https://www.ebay.co.uk/itm/115417508520?hash=item1adf6b6aa8%3Ag%3AvVcAAOSwe-1iob5s&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 7720, 17.3 FHD, i7-6920HQ, 64 GB, 1TB SSD, Nvidia P5000(16GB) ",679.99,9 May 2022,https://www.ebay.co.uk/itm/165471051113?hash=item2686d7dd69%3Ag%3Az4EAAOSwW0didhsa&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7740 Xeon 8 core 128GB ram, 2TB SSD, RTX5000 16gb , 17.3"" FHD ",1600.0,28 Apr 2022,https://www.ebay.co.uk/itm/165425756698?hash=item268424ba1a%3Ag%3AL7AAAOSw5A1iUcc0&LH_BIN=1&LH_ItemCondition=3000
Dell precision M4800 - i7 2.7ghz Quad Core - 16gb Ram 250ssd Radeon R9 M200X,199.99,21 Apr 2022,https://www.ebay.co.uk/itm/185379950608?hash=item2b29819010%3Ag%3ABqUAAOSwNshiUsVm&LH_BIN=1&LH_ItemCondition=3000
